id;label;timeset;gender;eccentricity;betweenesscentrality;harmonicclosnesscentrality;closnesscentrality;modularity_class;start date;end date;peak moment
0;Myriel;;M;4.0;483.0;0.4988584474885843;0.437125748502994;0;01/01/1818;01/01/1823;44013
1;Napoleon;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;18/10/1818;18/10/1824;44671
2;MlleBaptistine;;F;4.0;0.0;0.4509132420091321;0.41954022988505746;0;14/07/1822;14/07/1827;45671
3;MmeMagloire;;F;4.0;0.0;0.4509132420091321;0.41954022988505746;0;04/05/1826;04/05/1831;47061
4;CountessDeLo;;F;5.0;0.0;0.3280821917808218;0.3054393305439331;0;28/02/1822;28/02/1827;45532
5;Geborand;;F;5.0;0.0;0.3280821917808218;0.3054393305439331;0;01/01/1827;01/01/1832;47300
6;Champtercier;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;14/03/1818;14/03/1825;44818
7;Cravatte;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;13/01/1824;13/01/1829;46216
8;Count;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;12/12/1818;12/12/1825;45089
9;OldMan;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;07/07/1822;07/07/1827;45664
25;Thenardier,Jondrette;;M;3.0;196.859155120765;0.58675799086758;0.5214285714285715;1;03/03/1828;03/03/1833;47729
24;MmeThenardier;;F;3.0;81.01165528657789;0.5273972602739725;0.46794871794871795;1;02/11/1831;02/11/1836;12541
41;Eponine;;F;4.0;33.628408253253454;0.47716894977168955;0.4010989010989011;1;17/09/1830;17/09/1835;12130
70;Claquesous;;M;3.0;13.856141957457748;0.5182648401826484;0.4620253164556962;1;01/06/1834;01/06/1839;13485
68;Gueulemer;;M;3.0;12.951380052695843;0.5228310502283104;0.46794871794871795;1;12/12/1830;12/12/1835;12217
69;Babet;;M;3.0;12.951380052695843;0.5228310502283104;0.46794871794871795;1;22/04/1835;22/04/1840;13810
71;Montparnasse;;M;3.0;10.540415140415138;0.5136986301369864;0.4620253164556962;1;15/05/1829;15/05/1834;48167
75;Brujon;;M;4.0;0.75;0.43721461187214605;0.3802083333333333;1;09/02/1832;09/02/1837;12640
40;Boulatruelle;;M;4.0;0.0;0.3652968036529678;0.3443396226415094;1;18/08/1833;18/08/1838;13200
42;Anzelma;;F;4.0;0.0;0.3869863013698628;0.35436893203883496;1;16/08/1830;16/08/1835;12101
11;Valjean;;M;3.0;1532.1511417031543;0.7442922374429224;0.6576576576576577;2;04/04/1833;04/04/1838;13061
55;Marius;;M;3.0;331.39179892175224;0.6027397260273972;0.5328467153284672;2;06/11/1835;06/11/1840;14006
27;Javert;;M;3.0;141.49811964781006;0.591324200913242;0.5214285714285715;2;18/07/1837;18/07/1842;14628
51;MlleGillenormand;;F;3.0;90.50238095238093;0.4840182648401827;0.44242424242424244;2;18/07/1836;18/07/1841;14263
28;Fauchelevent;;M;4.0;72.5;0.44406392694063895;0.40782122905027934;2;02/01/1838;02/01/1843;14794
54;LtGillenormand;;M;3.0;47.30106516290728;0.4840182648401828;0.44242424242424244;2;18/11/1839;18/11/1844;15480
26;Cosette;;F;3.0;47.18836996336997;0.5342465753424659;0.48344370860927155;2;30/11/1833;30/11/1838;13300
31;Simplice;;F;4.0;23.491507512095748;0.4600456621004564;0.42441860465116277;2;30/03/1837;30/03/1842;14518
29;Bamatabois;;M;4.0;22.91666666666667;0.48744292237442916;0.43452380952380953;2;22/02/1836;22/02/1841;14114
50;Magnon;;F;4.0;0.6190476190476191;0.36529680365296785;0.33796296296296297;2;18/10/1839;18/10/1844;15450
10;Labarre;;M;4.0;0.0;0.42123287671232845;0.3989071038251366;2;10/10/1835;10/10/1840;13980
13;MmeDeR;;F;4.0;0.0;0.42123287671232845;0.3989071038251366;2;25/01/1835;25/01/1840;13721
14;Isabeau;;M;4.0;0.0;0.42123287671232845;0.3989071038251366;2;26/06/1839;26/06/1844;15336
15;Gervais;;M;4.0;0.0;0.42123287671232845;0.3989071038251366;2;25/08/1839;25/08/1844;15397
30;Perpetue;;F;5.0;0.0;0.3543378995433788;0.3230088495575221;2;13/10/1840;13/10/1845;15809
32;Scaufflaire;;M;4.0;0.0;0.42123287671232845;0.3989071038251366;2;27/04/1837;27/04/1842;14545
33;Woman1;;F;4.0;0.0;0.42808219178082163;0.4010989010989011;2;07/07/1836;07/07/1841;14252
34;Judge;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;15/03/1839;15/03/1844;15234
35;Champmathieu;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;18/09/1840;18/09/1845;15785
36;Brevet;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;21/12/1839;21/12/1844;15513
37;Chenildieu;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;31/07/1837;31/07/1842;14641
38;Cochepaille;;M;4.0;0.0;0.45547945205479423;0.4101123595505618;2;30/08/1838;30/08/1843;15037
43;Woman2;;F;4.0;0.0;0.43721461187214583;0.40555555555555556;2;16/05/1836;16/05/1841;14200
44;MotherInnocent;;F;4.0;0.0;0.4303652968036527;0.40331491712707185;2;29/03/1841;29/03/1846;15978
45;Gribier;;M;5.0;0.0;0.30753424657534234;0.2908366533864542;2;01/07/1836;01/07/1841;14246
52;MmePontmercy;;F;4.0;0.0;0.3801369863013698;0.3526570048309179;2;01/09/1836;01/09/1841;14305
53;MlleVaubois;;F;4.0;0.0;0.3253424657534245;0.3080168776371308;2;05/08/1837;05/08/1842;14646
56;BaronessT;;F;4.0;0.0;0.3801369863013697;0.3526570048309179;2;18/11/1840;18/11/1845;15844
72;Toussaint;;M;4.0;0.0;0.43721461187214583;0.40555555555555556;2;18/12/1841;18/12/1846;16242
48;Gavroche;;M;3.0;351.58888588191985;0.6118721461187215;0.5177304964539007;3;12/09/1845;12/09/1850;17604
