id;label;timeset;gender;eccentricity;betweenesscentrality;harmonicclosnesscentrality;closnesscentrality;modularity_class;start date;end date;peak moment
0;Myriel;;M;4.0;483.0;0.4988584474885843;0.437125748502994;0;01/01/2018;01/01/2023;44013
1;Napoleon;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;20/10/2019;20/10/2024;44671
2;MlleBaptistine;;F;4.0;0.0;0.4509132420091321;0.41954022988505746;0;14/07/2022;14/07/2027;45671
3;MmeMagloire;;F;4.0;0.0;0.4509132420091321;0.41954022988505746;0;04/05/2026;04/05/2031;47061
4;CountessDeLo;;F;5.0;0.0;0.3280821917808218;0.3054393305439331;0;28/02/2022;28/02/2027;45532
5;Geborand;;F;5.0;0.0;0.3280821917808218;0.3054393305439331;0;01/01/2027;01/01/2032;47300
6;Champtercier;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;14/03/2020;14/03/2025;44818
7;Cravatte;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;13/01/2024;13/01/2029;46216
8;Count;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;12/12/2020;12/12/2025;45089
9;OldMan;;M;5.0;0.0;0.3280821917808218;0.3054393305439331;0;07/07/2022;07/07/2027;45664
25;Thenardier,Jondrette;;M;3.0;196.859155120765;0.58675799086758;0.5214285714285715;1;03/03/2028;03/03/2033;47729
24;MmeThenardier;;F;3.0;81.01165528657789;0.5273972602739725;0.46794871794871795;1;02/11/1931;02/11/1936;12541
41;Eponine;;F;4.0;33.628408253253454;0.47716894977168955;0.4010989010989011;1;17/09/1930;17/09/1935;12130
70;Claquesous;;M;3.0;13.856141957457748;0.5182648401826484;0.4620253164556962;1;01/06/1934;01/06/1939;13485
68;Gueulemer;;M;3.0;12.951380052695843;0.5228310502283104;0.46794871794871795;1;12/12/1930;12/12/1935;12217
69;Babet;;M;3.0;12.951380052695843;0.5228310502283104;0.46794871794871795;1;22/04/1935;22/04/1940;13810
71;Montparnasse;;M;3.0;10.540415140415138;0.5136986301369864;0.4620253164556962;1;15/05/2029;15/05/2034;48167
75;Brujon;;M;4.0;0.75;0.43721461187214605;0.3802083333333333;1;09/02/1932;09/02/1937;12640
40;Boulatruelle;;M;4.0;0.0;0.3652968036529678;0.3443396226415094;1;20/08/1933;20/08/1938;13200
42;Anzelma;;F;4.0;0.0;0.3869863013698628;0.35436893203883496;1;16/08/1930;16/08/1935;12101
11;Valjean;;M;3.0;1532.1511417031543;0.7442922374429224;0.6576576576576577;2;04/04/1933;04/04/1938;13061
55;Marius;;M;3.0;331.39179892175224;0.6027397260273972;0.5328467153284672;2;06/11/1935;06/11/1940;14006
27;Javert;;M;3.0;141.49811964781006;0.591324200913242;0.5214285714285715;2;18/07/1937;18/07/1942;14628
51;MlleGillenormand;;F;3.0;90.50238095238093;0.4840182648401827;0.44242424242424244;2;18/07/1936;18/07/1941;14263
28;Fauchelevent;;M;4.0;72.5;0.44406392694063895;0.40782122905027934;2;02/01/1938;02/01/1943;14794
54;LtGillenormand;;M;3.0;47.30106516290728;0.4840182648401828;0.44242424242424244;2;19/11/1939;19/11/1944;15480
